Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
  Ebonyi,Total,19.45,18.2,12.15,9.1,4,5.75,5.35,5.7,4.3,4.3,2.5,3.1,2.1,1.75,1.3,0.55,0.4,49.8,46.1,4,56.25,43.7,21.25
  Ebonyi,Male,21.7,20.2,13,8.8,2.2,2.9,4.4,5.8,4.9,3.7,2.6,3.6,2.3,1.5,1.4,0.6,0.5,54.9,41,4,61.3,38.7,21.8
  Ebonyi,Female,17.2,16.2,11.3,9.4,5.8,8.6,6.3,5.6,3.7,4.9,2.4,2.6,1.9,2,1.2,0.5,0.3,44.7,51.2,4,51.2,48.7,20.7
  Enugu,Total,13.5,14.95,10.85,8.45,6,6.35,6,5.75,4.15,5.3,3.55,3.9,4.15,2.4,1.9,0.95,1.85,39.25,53.6,7.15,44,55.95,19.3
  Enugu,Male,15.4,16.8,12.8,8,4.3,5.3,4.6,5.1,3.9,4.7,2.8,3.6,4.9,2.5,2.2,0.9,2.2,44.9,47.2,7.8,49.4,50.5,20.8
  Enugu,Female,11.6,13.1,8.9,8.9,7.7,7.4,7.4,6.4,4.4,5.9,4.3,4.2,3.4,2.3,1.6,1,1.5,33.6,60,6.5,38.6,61.4,17.8
  Imo,Total,15.45,14,9.85,8.5,4.65,5.55,6.85,6.65,5.6,4.75,4.15,3.45,3.3,2.4,2.2,1,1.65,39.3,53.4,7.3,44.8,55.2,18.35
  Imo,Male,16.9,15.1,10.6,8.7,4.6,3.7,6.3,5.8,7,4.2,3.2,3.5,3.5,2.3,2.1,1.1,1.3,42.7,50.5,6.8,48.1,51.9,19.3
  Imo,Female,14,12.9,9.1,8.3,4.7,7.4,7.4,7.5,4.2,5.3,5.1,3.4,3.1,2.5,2.3,0.9,2,35.9,56.3,7.8,41.5,58.5,17.4
  Ekiti,Total,14.25,14.1,10,8.55,5.65,6.3,6.05,6.05,5.5,5.5,3.45,2.9,3.2,2.7,2.4,1.25,2.25,38.3,53.1,8.6,42.9,57.05,18.5
  Ekiti,Male,13.9,15.2,10.8,9,5.3,4.8,5.9,5.8,5.6,5.5,3.4,2.2,3.4,3,3,1.6,1.6,39.8,51,9.2,44.7,55.3,19.8
  Ekiti,Female,14.6,13,9.2,8.1,6,7.8,6.2,6.3,5.4,5.5,3.5,3.6,3,2.4,1.8,0.9,2.9,36.8,55.2,8,41.1,58.8,17.2
  Lagos,Total,13,13,11.05,8.75,5.6,7.3,9.25,9.4,6.5,4.75,4.05,2.45,1.85,1.3,0.95,0.35,0.5,37.05,59.85,3.1,42.7,57.3,19.8
  Lagos,Male,14.1,13.1,10.4,7.5,5.3,5.5,8.2,9.2,7.7,6.3,4.5,2.9,2,1.1,1.2,0.4,0.6,37.6,59.1,3.3,42.5,57.5,17.9
  Lagos,Female,11.9,12.9,11.7,10,5.9,9.1,10.3,9.6,5.3,3.2,3.6,2,1.7,1.5,0.7,0.3,0.4,36.5,60.6,2.9,42.9,57.1,21.7
  Ogun,Total,15.25,14.85,10.5,6.4,5.5,8.05,8.7,7.35,6.2,4.45,3.15,2.15,1.8,1.75,1.3,1.5,1.05,40.6,53.75,5.65,44.8,55.2,16.9
  Ogun,Male,15.7,15.8,9.7,6.8,4,6.5,9.2,7.3,7.6,4.8,3.5,1.9,2,1.2,1.4,1.3,1.4,41.2,53.5,5.3,45.6,54.4,16.5
  Ogun,Female,14.8,13.9,11.3,6,7,9.6,8.2,7.4,4.8,4.1,2.8,2.4,1.6,2.3,1.2,1.7,0.7,40,54,6,44,56,17.3
  Ondo,Total,26.2,27.2,22.9,18.9,13.8,14.2,12.9,11.8,9.7,10.6,7,5.8,5.4,4.8,3.9,1.9,3.3,76.2,109.8,13.9,86.7,113.2,41.7
  Ondo,Male,14.1,14.3,10.8,9.8,6.5,6.8,6.2,5.8,4.7,4.9,3.5,2.7,2.9,2.6,2.1,1,1.4,39.2,53.7,7.1,44.2,55.8,20.6
  Ondo,Female,12.1,12.9,12.1,9.1,7.3,7.4,6.7,6,5,5.7,3.5,3.1,2.5,2.2,1.8,0.9,1.9,37,56.1,6.8,42.5,57.4,21.1
  Osun,Total,14,13.2,10.5,7.85,7.45,7.8,6.85,6.15,5.05,4.3,4.6,2.8,3.4,2.2,1.95,0.8,1.1,37.7,56.25,6.05,42.35,57.65,18.35
  Osun,Male,14.8,13.9,10.6,7.3,6.8,7.4,6.8,6,5.3,4.5,4.5,2.6,3.2,1.9,2.2,1.1,1.1,39.3,54.4,6.3,43.5,56.5,17.9
  Osun,Female,13.2,12.5,10.4,8.4,8.1,8.2,6.9,6.3,4.8,4.1,4.7,3,3.6,2.5,1.7,0.5,1.1,36.1,58.1,5.8,41.2,58.8,18.8
  Oyo,Total,15.25,14.75,10.6,6.55,5.7,7.15,6.7,8,5.15,4.25,4.15,2.6,3.05,2.35,1.95,0.85,0.85,40.6,53.25,6.1,44.6,55.25,17.2
  Oyo,Male,15.7,15.1,10.9,7.3,4.9,5.9,6.3,7.9,5.4,4.1,4.2,2,3.1,2.7,2.7,0.8,0.9,41.7,51,7.2,45.8,54.1,18.3
  Oyo,Female,14.8,14.4,10.3,5.8,6.5,8.4,7.1,8.1,4.9,4.4,4.1,3.2,3,2,1.2,0.9,0.8,39.5,55.5,5,43.4,56.4,16.1
  Akwa Ibom,Total,13.2,12.55,11.5,9.7,7.5,8.4,6.65,7.4,4.55,4,4.15,3,2.7,2.35,1.4,0.5,0.45,37.3,58.05,4.65,42.75,57.25,21.25
  Akwa Ibom,Male,13.5,13.2,12.2,9.8,6.8,8.3,6.4,7.9,4.7,4.1,2.6,2.9,2.9,2.3,1.3,0.7,0.3,39,56.5,4.5,44.7,55.3,22.1
  Akwa Ibom,Female,12.9,11.9,10.8,9.6,8.2,8.5,6.9,6.9,4.4,3.9,5.7,3.1,2.5,2.4,1.5,0.3,0.6,35.6,59.6,4.8,40.8,59.2,20.4
  Bayelsa,Total,14.8,15.85,12.15,8.15,7.05,8.45,6.95,5.95,4.25,3,3.95,2.65,2.45,1.7,1.1,0.8,0.8,42.85,52.8,4.4,47.65,52.35,20.3
  Bayelsa,Male,15.4,15.7,11.8,9.1,7,8,6.9,6.2,4.4,3.6,2.6,2.3,2.8,2,1,0.5,0.6,43,52.9,4.1,48.7,51.3,20.9
